date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1891-03-21,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,False,1.0,991.7102065660131,1014.6316789414361,991.2321834971168,1015.1097020103324
1891-03-28,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,False,1.0,1015.1097020103324,989.1699430020858,1015.5848356657842,988.694809346634
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,False,1.0,1004.9764232180399,1015.5848356657842,1005.4865996343563,1015.0746592494679
1892-02-27,Wales,Northern Ireland,1,1,British Home Championship,Bangor,Wales,False,1.0,991.2321834971168,988.694809346634,991.2297491330629,988.6972437106879
1892-03-05,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,1.0,988.6972437106879,1005.4865996343563,988.2133460240605,1005.9704973209837
1892-03-05,Wales,England,0,2,British Home Championship,Wrexham,Wales,False,1.0,991.2297491330629,1005.9704973209837,990.7438877907315,1006.4563586633151
1892-03-19,Northern Ireland,Scotland,2,3,British Home Championship,Belfast,Ireland,False,1.0,988.2133460240605,1015.0746592494679,987.739094252085,1015.5489110214434
1892-03-26,Scotland,Wales,6,1,British Home Championship,Edinburgh,Scotland,False,1.0,1015.5489110214434,990.7438877907315,1016.0251307774874,990.2676680346874
1892-04-02,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,False,1.0,1016.0251307774874,1006.4563586633151,1015.5159514289588,1006.9655380118437
1893-02-25,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,False,1.0,1006.9655380118437,987.739094252085,1007.4471003246526,987.2575319392761
1893-03-13,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,False,1.0,1007.4471003246526,990.2676680346874,1007.9306241651591,989.784144194181
1893-03-18,Wales,Scotland,0,8,British Home Championship,Wrexham,Wales,False,1.0,989.784144194181,1015.5159514289588,989.3088115171433,1015.9912841059964
1893-03-25,Scotland,Northern Ireland,6,1,British Home Championship,Glasgow,Scotland,False,1.0,1015.9912841059964,987.2575319392761,1016.4637445435613,986.7850715017112
1893-04-01,England,Scotland,5,2,British Home Championship,Richmond,England,False,1.0,1007.9306241651591,1016.4637445435613,1008.4388101985426,1015.9555585101779
1894-02-24,Wales,Northern Ireland,4,1,British Home Championship,Swansea,Wales,False,1.0,989.3088115171433,986.7850715017112,989.8063902335128,986.2874927853417
1894-03-03,Northern Ireland,England,2,2,British Home Championship,Belfast,Ireland,False,1.0,986.2874927853417,1008.4388101985426,986.3087322018561,1008.4175707820282
1894-03-12,Wales,England,1,5,British Home Championship,Wrexham,Wales,False,1.0,989.8063902335128,1008.4175707820282,989.3242384080284,1008.8997226075127
1894-03-24,Scotland,Wales,5,2,British Home Championship,Kilmarnock,Scotland,False,1.0,1015.9555585101779,989.3242384080284,1016.4300303597885,988.8497665584177
