year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
2006,2006-06-24,Round of 16,Germany,Sweden,2,0,,,1881.0,1874.0,-0.3102,-0.8582,2.5388,1.9056,1
2006,2006-06-24,Round of 16,Argentina,Mexico,2,1,,,1917.0,1841.0,-4.5931,-0.0758,-1.8034,-5.439,1
2006,2006-06-25,Round of 16,England,Ecuador,1,0,,,1968.0,1719.0,0.8566,-2.4582,1.3816,4.4927,1
2006,2006-06-25,Round of 16,Portugal,Netherlands,1,0,,,1914.0,1995.0,0.9615,0.616,0.6047,3.7363,1
2006,2006-06-26,Round of 16,Italy,Australia,1,0,,,1949.0,1797.0,1.3692,-0.0234,-0.0376,-3.6282,1
2006,2006-06-26,Round of 16,Switzerland,Ukraine,0,0,0.0,3.0,1795.0,1781.0,1.7372,-0.7443,1.8765,3.5929,0
2006,2006-06-27,Round of 16,Brazil,Ghana,3,0,,,2034.0,1617.0,2.4688,-0.953,-0.2247,1.379,1
2006,2006-06-27,Round of 16,Spain,France,1,3,,,1961.0,1955.0,1.4256,1.6249,-1.1485,-0.1934,-1
2006,2006-06-30,Quarter-finals,Germany,Argentina,1,1,4.0,2.0,1881.0,1917.0,-0.3102,-4.5931,2.5388,-1.8034,0
2006,2006-06-30,Quarter-finals,Italy,Ukraine,3,0,,,1949.0,1781.0,1.3692,-0.7443,-0.0376,3.5929,1
2006,2006-07-01,Quarter-finals,England,Portugal,0,0,1.0,3.0,1968.0,1914.0,0.8566,0.9615,1.3816,0.6047,0
2006,2006-07-01,Quarter-finals,Brazil,France,0,1,,,2034.0,1955.0,2.4688,1.6249,-0.2247,-0.1934,-1
2006,2006-07-04,Semi-finals,Germany,Italy,0,2,,,1881.0,1949.0,-0.3102,1.3692,2.5388,-0.0376,-1
2006,2006-07-05,Semi-finals,Portugal,France,0,1,,,1914.0,1955.0,0.9615,1.6249,0.6047,-0.1934,-1
